timestamp,speakers,words,tags
,Rebecca Scofield,"This is Rebecca Scofield and I am here with Ann Kinney, it's September 11, 2016 and we are at the Rodeo on the River in Duncan Mills, California. Can I ask what year you were born?",
,Ann Kinney,"1996, I mean 1961, sorry, there we go. Edit! 1961.",childhood;
,RS,And where were you born?,childhood;
,AK,"Bowling Green, Ohio.",childhood;
,RS,Is that where you grew up?,childhood;
,AK,"No. I was only there for about 3 years. My dad sold farm equipment so he would get transferred every 3 years. And we moved to Minnesota, and then about 3 years later we moved to Sacramento, and lived in town for 3 years and then they bought 40 acres. 40 acre ranch in Harold, California and so I from about age 9 to 18 I grew up there.",childhood;family;
,RS,And you said there was about 40 acres. Did they do cattle or farming?,family;
,AK,Yeah and we tried our hand at raising some dairy calves and moved on to angus beef.,family;
,RS,Did you work on the farm pretty consistently?,childhood;
,AK,"Oh yeah. Yeah. I had irrigation to do and chores to do before I went to school and when I got home. We had a lot of horses, did a lot of horseback riding and had a pony cart for my little pony. All of my friends and I would tear around the countryside on that.",childhood;family;
,RS,Did you have siblings?,family;
,AK,"I have a brother who's almost 3 years older than me, and I have an older sister who is about 13 years older than me.",family;
,RS,And when did you first come across the gay rodeo?,
,AK,"Well my first gay rodeo I went to was when I was living in Dallas, Texas. And went down to the Houston rodeo, and didn't realize then that I could be in it. And then it was '96. 1996 was the year I first got started in the rodeo.",
,RS,And had you done any rodeoing before that?,
,AK,"No, none whatsoever. Did some roping on the ranch but other than that, never. I always wanted to try my hand at bronc riding. That was a thing I had a passion about for some reason, so that's what I was mainly focused on getting in to.",
,RS,Had you ever gone and watched a lot of rodeos growing up?,childhood;
,AK,"Oh yeah, went to a lot of rodeos. I had one birthday when I was a teenager that my dad said for your birthday present we're going to go to the Del Rodeo and Comanche Rodeo and all these so every weekend we were going to a rodeo, so that was pretty cool.",childhood;
,RS,And why were you living in Texas? What had taken you to Texas?,
,AK,"Had some friends that were going, and I, you know, was pretty young out of high school and just thought why not. So I went to Texas and lived there, I think, about 4 years I lived there.",
,RS,So after you saw gay rodeo were you pretty hooked?,
,AK,"Well like I said I didn't give it much thought when I went to that rodeo 'cause I wasn't really thinking, ""I could be in this, I could do this."" I would have liked to have started then, 'cause that was probably 1983. I would have liked to have started then. It would have been a little easier on my body then. So that would have been great but like I said I didn't give it a second thought that I could actually be in it.",
,RS,When you went to your first one were you out at the time?,comingout;
,AK,Yeah. Oh yeah.,comingout;
,RS,Can I ask when you came out?,comingout;
,AK,"Um, gee. I was probably at least 18, I knew I was gay when I was like 11, so before…well, actually before I was 18 because I was going out to bars that I had no business being in. So yeah, before I was 18.",comingout;
,RS,And did your family react well to that or was it a struggle for them?,comingout;family;
,AK,"They kind of had denial issues about a lot of things. My parents were older. My mom was 42 when she gave birth to me, and she thought I could do no wrong or, anything that would disappoint her so…it wasn't really talked about…I had a little bit of a drinking issue and I've been clean and sober 26 years now. So even with that, there was denial that there was a problem. But probably in the '90s is when it really became more of an issue and at first my dad really had an issue with it. My mom just kind of went, you know, ""it's okay, it's my baby"" you know so. And then my dad got over it too. After my mom passed away my dad moved out to California and lived with me for a little over a year and he got a little okay with it.",comingout;family;
,RS,So you would have been in your 30s when you really started competing. How was getting into the sport at that age?,injuries;
,AK,As far as what? Physical fitness?,injuries;
,RS,Mhm.,injuries;
,AK,"Well, we could always be more physically fit. I don't think I was in bad shape, but I could have been in a whole lot better shape to be doing what I was doing. And then, I think it was in 2000, at finals, that was the first year that I actually qualified in broncs for finals and went to Albuquerque. I made my ride on Saturday and, on Sunday, when I came off the bronc I came off on the left side and landed on my shoulder and I was sick. I had enlarged liver and spleen and had no business being there. So when I came off the bronc, I actually landed on my shoulder and split my spleen in half. I got up and walked out of the arena and I just had all this pain. I didn't know that was internal bleeding. I went over and watched a few more people ride through the re-rides and then when I went over to the other side to pack up my gear. It was Chuck Browning or…anyways I started getting faint, dizzy, and [Chuck] asked me if I needed a medic and I said I need something because I started feeling like I was going to pass out because I didn't realize I was bleeding internally. I spent at least a week in Albuquerque in a hospital. I had to get surgery and get completely cut open and get my spleen removed, so that was exciting. Didn't stop me—that was exciting.",injuries;
,RS,Have you had other injuries since then?,injuries;
