start,end,line
0:00:00.060,0:00:05.00,you know it's a 40-mile drive yeah it

0:00:02.760,0:00:06.77,was crazy and in winter it was it was

0:00:05.009,0:00:10.67,brutal for you

0:00:06.779,0:00:13.71,so knock yours out here yeah see brink

0:00:10.679,0:00:15.59,hole great great no this is here we have

0:00:13.710,0:00:17.03,moose and bigger and you're not quite

0:00:15.599,0:00:22.10,you're not over that pet you know that a

0:00:17.039,0:00:23.77,little pat no gorilla steakhouse Hill

0:00:22.109,0:00:26.16,was is lovely

0:00:23.779,0:00:28.50,yeah which one it wait which one's

0:00:26.160,0:00:30.90,Steakhouse hill right over here how 9,
0:00:28.500,0:00:33.80,the first little Oh cat pass go over to

0:00:30.900,0:00:39.92,North program summer it takes more three

0:00:33.809,0:00:43.59,today I I quit about what is it now well

0:00:39.920,0:00:48.23,I'm in no way thought two years ago

0:00:43.590,0:00:49.59,three I got down to like like I would

0:00:48.239,0:00:52.44,like the night leaks mugger like right

0:00:49.590,0:00:55.59,before I went to sleep but then yeah we

0:00:52.440,0:00:57.84,have a we have a hot tub Oh which is one

0:00:55.590,0:01:00.09,of our great indulgences but you know

0:00:57.840,0:01:01.80,this part of Idaho in the winter there's

0:01:00.090,0:01:04.26,no way to be outside at night unless

0:01:01.800,0:01:05.79,you're shivering going right up to them

0:01:04.260,0:01:15.86,and that's where I usually smoke my

0:01:05.790,0:01:23.07,three okay all right um we should be

0:01:15.869,0:01:26.70,fuck probably fine you are you're going

0:01:23.070,0:01:28.65,to be so recorded today oh good yeah

0:01:26.700,0:01:31.57,I've been recording like me I did I did

0:01:28.650,0:01:34.43,a hour and a half recording reading 1,
0:01:31.579,0:01:37.74,EC oh cool yeah it's great

0:01:34.439,0:01:42.81,cuz they were they've already broadcast

0:01:37.740,0:01:48.24,one on on BBC four which is they tell me

0:01:42.810,0:01:53.82,a big deal who knows yeah seems to be

0:01:48.240,0:01:55.74,moving some product me um your

0:01:53.820,0:01:58.32,daughter's the one who let me know of

0:01:55.740,0:02:03.03,all about this stuff at the that's a

0:01:58.320,0:02:08.06,school she knows her stuff she says

0:02:03.030,0:02:08.06,she's a special woman she is

0:02:08.569,0:02:12.56,it's been great having her I thought she

0:02:11.039,0:02:17.61,had done such good work it's kind of

0:02:12.569,0:02:20.81,ridiculous but yeah I'm loving me the

0:02:17.610,0:02:30.54,soilless she puts up just oh I think I'm

0:02:20.819,0:02:33.65,gonna get ya let me see here okay this

0:02:30.540,0:02:56.25,is supposed to have some sort of little

0:02:33.659,0:02:58.20,thing on Oh Mike yeah so cellophane so I

0:02:56.250,0:03:04.40,did one of these already with Nancy and

0:02:58.200,0:03:05.87,Winkle who says hi hi back man um and it

0:03:04.409,0:03:09.18,was good it was kind of it was an

0:03:05.879,0:03:13.20,interesting conversation so she's doing

0:03:09.180,0:03:14.97,like multimedia yeah electronics no it

0:03:13.200,0:03:17.43,was it was an interesting place to start

0:03:14.970,0:03:21.41,for sure - lovely it's like you made she

0:03:17.430,0:03:24.32,make me feel like I wasn't you Eve yeah

0:03:21.419,0:03:28.79,I'm not there I'm not going there I

0:03:24.329,0:03:31.04,don't tweet know Kim's Kim's on Twitter

0:03:28.799,0:03:33.66,but she didn't really want to be with

0:03:31.049,0:03:35.94,her but you know knopf insisted you got

0:03:33.660,0:03:37.59,to have it you got a sweet yeah you got

0:03:35.940,0:03:41.15,to have that you got to have a

0:03:37.590,0:03:44.48,substantial electronic presence

0:03:41.150,0:03:45.98,fortunately I don't think that would

0:03:44.489,0:03:54.26,give Zoo well we're not going to make

0:03:45.989,0:03:58.70,any money off me anyway okay all right

0:03:54.260,0:04:02.87,going back there how where were you we

0:03:58.709,0:04:06.87,started out in Edinburgh in Scotland

0:04:02.879,0:04:08.94,okay and read at a place called the

0:04:06.870,0:04:11.12,Scottish poetry library which is just

0:04:08.940,0:04:11.12,fantastic

0:04:12.370,0:04:19.59,um had a standing-room-only crowd was

0:04:16.180,0:04:24.97,just that was terrific then went to lobs

0:04:19.590,0:04:26.22,all bra which looks like Alda bird but

0:04:24.970,0:04:30.28,it's pronounced all bro

0:04:26.229,0:04:31.93,I had a Poetry Festival which was

0:04:30.280,0:04:33.52,incredibly wonderful but you can only go

0:04:31.930,0:04:35.53,there every ten years so I'll be ancient

0:04:33.520,0:04:43.78,by the time Li they will confine me

0:04:35.530,0:04:47.16,again then let's see went to Norwich and

0:04:43.780,0:04:50.49,Newcastle and Hull I've got a picture of

0:04:47.169,0:04:53.13,myself standing next to the statue of

0:04:50.490,0:04:54.88,Philip Larkin in the train station oh

0:04:53.139,0:04:58.86,yeah yeah which is about six feet nine

0:04:54.880,0:04:58.86,inches tall he was not that tall

0:05:00.479,0:05:05.28,then went to Newcastle or he did good

0:05:03.639,0:05:09.49,yeah said Newcastle on shrine I came

0:05:05.289,0:05:11.19,everywhere else I was and then wound up

0:05:09.490,0:05:13.51,in London for a couple of days which was

0:05:11.199,0:05:15.55,great and did the BBC interview and did

0:05:13.510,0:05:19.27,a couple of other interviews with

0:05:15.550,0:05:21.55,magazines and got a poem published in

0:05:19.270,0:05:23.71,the time in the tls literary supplement

0:05:21.550,0:05:28.78,while I was there with that yeah it was

0:05:23.710,0:05:30.46,it was very cool I have been really

0:05:28.780,0:05:33.78,enjoying anatomy melancholy

0:05:30.460,0:05:36.76,I've enjoyed many halls but let that one

0:05:33.789,0:05:39.16,is then I've been considering it right

0:05:36.760,0:05:40.57,now well of course I'm especially fond

0:05:39.160,0:05:44.86,of it because it's like the newest baby

0:05:40.570,0:05:46.84,but yeah well it is an interesting move

0:05:44.860,0:05:48.31,I think I mean it changes in a sort of I

0:05:46.840,0:05:50.94,mean it still got your sort you know

0:05:48.310,0:05:53.71,your sort of your subjects but it it

0:05:50.949,0:05:56.65,kind of has like a focusing

0:05:53.719,0:05:58.54,it's a vastly more elusive book too than

0:05:56.659,0:06:00.83,any hang I've published before so and I

0:05:58.549,0:06:02.47,I think the Brits appreciated that too

0:06:00.830,0:06:09.79,because I was continually picking

0:06:02.479,0:06:15.64,British poets pockets no all right well

0:06:09.799,0:06:17.53,to the boring question there are no

0:06:15.649,0:06:18.97,boring questions only boring answers and

0:06:17.539,0:06:21.37,I can't guarantee that I won't be boring

0:06:18.979,0:06:24.16,well I'm sort of after boring this in

0:06:21.379,0:06:25.24,some ways because I mean you know I

0:06:24.169,0:06:27.22,think it's going to be kind of an

0:06:25.249,0:06:29.47,accumulative thing in some ways I mean

0:06:27.229,0:06:32.53,like how does these person you know make

0:06:29.479,0:06:33.67,it whatever is I mean it sort I guess

0:06:32.539,0:06:36.16,the question that I'm interested in is

0:06:33.679,0:06:38.20,like you know like the cotton and this

0:06:36.169,0:06:39.37,is kind of coming some other reading but

0:06:38.209,0:06:41.65,you kind of think of like how a poem

0:06:39.379,0:06:45.13,comes to be in life but the problem with

0:06:41.659,0:06:48.49,thinking about in a sort of genesis of a

0:06:45.139,0:06:49.87,moment that that problem of like

0:06:48.499,0:06:51.01,thinking there's a poem out here and

0:06:49.879,0:06:52.54,it's more you know the interaction of

0:06:51.019,0:06:55.03,your mind and the surface of the mind in

0:06:52.549,0:06:57.16,the in the screen that becomes success

0:06:55.039,0:06:59.59,work um you know think that sort of back

0:06:57.169,0:07:00.91,and forth and so I'm trying to track

0:06:59.599,0:07:02.83,that in some ways

