timestamp,speaker,words,tags,timelink
[00:00:00],DB:,"All right. I've basically got a few little sections to this. The first section is kind of like where you are at now with more digital work and the sort of technical processes that you use. The second session will kind of go through your compositional practices and how they've changed over the course of your career. So, the first one is almost like short answer, which I'm sure we'll go through it fairly quickly. If you would, for the camera, please state your name, your date of birth and the location where we are right now?",,0
,BB:,"Bruce Beasley. Date of birth January 20, 1958, and we are in my writing cottage in my studio in the back of my house in Bellingham, Washington.",,
,DB:,What genres do you work in?,,
,BB:,Poetry only.,,
,DB:,What kinds of devices do you own or have access to for writing?,,
,BB:,Devices?,,
,DB:,Yeah.,,
,BB:,You mean like computers?,,
,DB:,Sure.,,
,BB:,"I have a laptop, a Toshiba Satellite laptop computer, and that's mainly it.",,
,DB:,Is that it? Do you work on a tablet or a phone or anything like that?,,
,BB:,No.,,
,DB:,Or pretty primarily on that device?,,
,BB:,"That and my office computer, which is a desktop.",,
,DB:,"The operating system on which you work, is that a Windows?",files,
,BB:,"Windows 7&#8212;or that's Windows 8, now.",files,
,DB:,Do you work on that office computer very often or is that&#8212;?,files,
,BB:,"I do. In the summer, like now, I work almost exclusively here on that computer. When I'm at work, when I'm teaching, I am often working a couple of hours a day during the day, and I work mostly on the office computer when I'm doing that. So, I'm always sending files back and forth.",files,
,DB:,How do you do that? Do you email them to yourself?,files,
,BB:,I have Carbonite on this computer.,files,
,DB:,Okay.,files,
,BB:,"So, you can call up these files there easily, but not vice versa. Things that I put in my office computer, I have to email to myself if I want to work on them here.",files,
,DB:,"Okay, so you don't have the folder on your office computer, you just have the kind of shared folder here?",,
,BB:,Yeah.,,
,DB:,Do you use computers exclusively or do you also work &#8212;physically?,,
,BB:,"I use computers mostly. What I do a lot is&#8212;I've brought some examples of this, if you want to see them&#8212;I write a lot when I'm walking. I take long walks and scribble in a notebook like this one. Just usually individual lines&#8212;let's see if I can find some examples. And then often I will transcribe them onto note cards. Just&#8212;this says: ""Your omissive offspring deviled what you've got in there,"" which is lines that I was working toward a poem called ""Offspring Insprung,"" which is a response to a sculptor named Bruce Beasley&#8212;he has the same name as me.",prompt; paper,
[00:3:50],,"We've been doing this kind of collaboration. I have been writing sort of my self-portrait through the lens of his sculptures. So he sent me a sculpture called ""Offspring,"" which is in the house if you want to see it&#8212;one of his sculptures. And I wrote a poem called ""Offspring Insprung"" responding to his sculpture. So when I was writing that, I was taking long walks and just scribbling down random lines.",prompt; paper,230
