timestamp,speaker,words,tags,timelink
[00:00:00],DB:,"Here we are. It's March 18th and this is an interview with Michael Ryan. Okay-the interview kind of has two parts. The first part I just sort of ask about your current practices. It's based on the survey Collier and I did for an article about two years ago of like younger poets and how they work with digital media. So those are meant to be sort of short answer, just about how you save, how you type, stuff like that. Then, we'll kind of talk more about the arc of your career and different ways your process has changed or not changed in accordance with history, technology, culture. So if you don't mind, please state your name, date of birth, and where we are.",,0
,MR:,"Michael Ryan, 24th of February 1946, and I believe we're in Irvine, California.",,
,DB:,Okay. This is kind of how you work currently. What genres do you work in as a writer?,,
,MR:,"I write prose and poetry, essays, nonfiction, and mostly poems.",,
,DB:,So you're primary genre is poetry then?,,
,MR:,Yeah.,,
,DB:,"I know these answers. Some of these will be repetitive and if it's like, you're like, ""Okay, I answered that,"" just tell me.",,
,MR:,That's fine.,,
,DB:,"Okay. What kinds of devices do you own or have access to for your writing, in terms of computer devices?",,
,MR:,"I have a desktop computer and an iPad. I don't use the iPad much, but sometimes for internet stuff.",,
,DB:,Do you have a desktop computer here? Do you have one also at your office that you work on?,,
,MR:,I don't use it.,,
,DB:,You don't use it?,,
,MR:,Yeah.,,
,DB:,"Okay. So, that's your main computer for composing?",,
,MR:,That's it.,,
,DB:,That's it?,,
,MR:,"Pretty much, yeah.",,
,DB:,What operating system are you using?,,
,MR:,Microsoft Word.,,
,DB:,Is it a PC or a MAC?,,
,MR:,It's a PC.,,
,DB:,"It's a PC, okay. Do you use computers exclusively for your work or do you use both physical and digital environments?",,
,MR:,What does that mean?,,
,DB:,"I mean, do you work on paper and digitally? Do you go back and forth, or are you at the point where you work primarily on the computer?",,
,MR:,"I draft poems by hand and then I'll go back to the computer and go sometimes back and forth. Prose, I write on the computer.",between; paper,
,DB:,Okay. At which point-if you're writing by hand-do you move to the computer?,between; paper,
,MR:,"Yeah, it depends. Just it seems to be finished enough to make a typed copy.",between; paper,
,DB:,Okay. Do you have any prewriting or notes to these things or are they usually-?,between; paper,
,MR:,"Yeah, again, it depends on the piece. They're all very different, but sometimes there are a lot of notes, sometimes there's not much. I don't usually take notes on the computer. I usually will do that by hand.",between; paper,
,DB:,"Do you save those prewriting notes, the physical copies? Do you keep them somewhere or-?",future,
,MR:,"I keep everything, yeah. My papers are at the University of Virginia. Theoretically, someday I should be sending what's accumulated to them.",future,
[00:04:06],DB:,"How do you save your digital files, like your poem files, etc?",files,246
,MR:,"I try to do them in terms of the draft numbers. Like, I will save the title. Sometimes, I'll put the date if it seems germane, but I will put numbers so that the first draft that goes on the computer is ""1,"" and so forth.",files,
,DB:,"Do you save them all in one folder? What's the folder system like? Are you saving them in just, like,  ""Poetry Folder""?",files,
,MR:,"Yeah, no, just one. Currently, it's ""Poems 2012-"" because that was when I finished my last book of poems. So they're kind of arranged by book.",files,
[00:05:02],DB:,"Once you have the poem on a computer, do you ever print it out to revise it that way?",paper; between; revision,302
,MR:,Yes.,paper; between; revision,
,DB:,Do you save paper copies of those drafts?,paper; between; revision,
,MR:,"Yeah. Well, usually. I can get sloppy about it, but I try to save most.",paper; between; revision,
,DB:,How do you do that? Do you put them in files? Do you put them in boxes?,paper; between; revision,
,MR:,"My office is filled with stacks of brown boxes, as you might remember. It's all a big mess and a big pile.",paper; between; revision; future; highlight,
,DB:,Some lucky archivist someday will have several months of work.,paper; between; revision; future; highlight,
,MR:,"Yeah. Lucky, or perhaps not so lucky.",paper; between; revision; future; highlight,
,DB:,"Were there also like brown bags too, or was it just boxes? I feel like I remember paper bags-?",paper; between; revision; future; highlight,
,MR:,"No, there were not brown bags.",paper; between; revision; future; highlight,
,DB:,They were boxes? My memory-,paper; between; revision; future; highlight,
,MR:,"That's a screened memory, Devin. You think I'm sloppier that I already am.",paper; between; revision; future; highlight,
,DB:,I picture you with grisly bags full of your working drafts.,paper; between; revision; future; highlight,
,MR:,"It's pathetic, but not quite that pathetic.",paper; between; revision; future; highlight,
,DB:,"I know. Do you back up your digital copies? Do you put them on a hard drive somewhere else, or any of that?",files,
,MR:,"No, I hope it has a back up system on it-I think it does. I think it backs it up automatically.",files,
,DB:,Okay. Are you using something like Dropbox or any of those kind of cloud things?,,
,MR:,"No, I'm not.",,
,DB:,"Okay. Once you're finished with the poem, how do you save that finished piece? Does that go into a manuscript file? What happens once you feel like the poem is done?",files,
,MR:,"Well again, when it's done, it's just number whatever, ""15,"" of that particular poem, and it just stays in that folder until it's time for a book. And then, I will transfer the latest final draft of everything into some other place, so that it's just the final drafts. Then, there's always galleys and proofread stuff, and so that becomes a separate folder.",files,
,DB:,"Okay. That's the quick digital beginning part of it. Now, we'll kind of talk with larger scope. How long have you been writing professionally, is the first question? By professionally, I mean in a way that you are sort of supporting yourself or that it has led to jobs or something like that.",,
[00:07:55],MR:,"The first poem I published was in 1970. So, 44 years.",career,475
,DB:,What was your first poem?,career,
,MR:,"Actually, the first published poem that was in my first book was 1970, but before that there were a couple. But the first one and the oldest poem in my New and Selected is a poem called ""Hitting Fungoes.""",career,
,DB:,"Yeah, I like that one. Would you please describe the arc of your career, like kind of education all the way through what your current kind of position?",career,
,MR:,I've been teaching all of that time.,career,
,DB:,"I mean, even before that, like your kind of education leading up to that too.",career,
,MR:,"When I went to Notre Dame, there weren't any writing workshops. I was an English major and I was interested in being-I was the editor of the literary magazine at Notre Dame when I was a senior there, and I wrote extremely bad undergraduate poems. I then went to Claremont graduate school and Claremont here, and was going to get a PhD in English and was writing poems all of that time, and decided to leave after three semesters, and dropped out, went to Cambridge, lived with some friends and I worked in a bookstore in Harvard Square.",career,
,MR:,"There's a funny story about after I quit at Claremont. I was sort of a lame duck there. It was during the time of the Cambodia invasion and it was a very charged political time. I had gone through Iowa City and expected that since I was a poet, all the faculty on the workshop would want to read my poems. Kindly, George Starbuck met with me and I handed him a manuscript of poems and he put it in his desk drawer. We just talked for a few minutes. That was it and I left. After I quit the PhD program at Claremont, I got a letter from George Starbuck saying ""You're accepted to the workshop. Why don't you apply?""",career,
,DB:,That's nice.,career,
,MR:,Wasn't it?,career,
,DB:,Yeah.,career,
[00:10:57],MR:,"A miracle. Never could happen now, or come close to such a thing. But anyways, he was a sweet man and apparently saw something in my poems. So then I went to Iowa from 19970-1974. I got an MFA there. I couldn't get a job after getting an MFA, so they kindly offered to put me up for another year. I worked in the Iowa Review as a poetry editor. But they said, ""If you're going to stay, you have to go back in the PhD program because we have to have a way to give you graduate aid.""",career,657
,MR:,"So I did that, and worked on the Iowa Review. Still couldn't get a job after the next year. The fourth year, or between that and the summer after my third year, I got a call from the Yale University Press saying I won the Yale Series of Younger Poets, and so I went back to Iowa for a fourth year and finished up my PhD. They put me on the faculty for my last semester there. When I went to Southern Methodist University from there for four years, I then directed the MFA program-which is now at Warren Wilson-while it was at Goddard, and while the director, Ellen Voigt, had her Guggenheim year. I was there two years, I guess. No-one year. And then I went to Princeton for two years, and to Charlottesville, Virginia at the University of Virginia as a visitor, and was also, mostly, at Warren Wilson for all those years. And then came here, and I've been here since 1991-University of California at Irvine.",career,
,DB:,All right.,,
,MR:,Was that too long?,,
[00:13:31],DB:,"No-that's exactly what I'm looking for. I mean, just sort of, ""This is what happened,"" you know? Now, I'm going to kind of ask you more specifically about your writing practice. I kind of delineated it into like three stages-the first being kind of like compositional prewriting generative stage, the second being the kind of revision stage, and then the third being the kind of organizational archival stage, by which I mean, like, when things are starting to be finished and your putting them into books, and then what you do with those publications and how you kind of work with that archival stuff. Does that make sense? If that matches up with your writing process enough to talk then-",,811
,MR:,Sort of.,,
,DB:,"Usually, it will just kind of go, and you'll probably answer questions that I have later, and we'll just go forward. So what I like to talk about is kind of like how you are writing initially in the beginning parts of your career, and then kind of to think about how that changed-if there were sort of significant changes, what those were, and stuff like that.",,
