timestamp,speaker,words,tags,timelink,
,Devin Becker:,"OK, So, if you would please state for the camera your name, your date of birth, and where we are?",,,
,Nance Van Winckel:,"OK, I'm Nance van Winckel and I was born October 24th, 1951. We are in Liberty Lake, Washington.",,,
,DB,"OK, and you've been living here for?",,,
,NVW,I've been in this area since 1990.,,,
,DB,OK,,,
,NVW,But my husband and I just moved out here to this little condo in '07,,,
,DB,"OK, and by the way, it's a beautiful, beautiful view of the lake.",,,
,DB,"OK, so here's the sort of digital and physical sort of question, but&#8230; So, what genres do you work in as a writer?",,,
,NVW,"Poetry, primarily, but also I write short stories.",,,
,DB,What kinds of devices do you own or have access to for writing?,,,
,NVW,"Well, for writing&#8230; Electronic devices, you mean?",,,
,DB,"Yeah, yeah, that's what I mean.",,,
,NVW,"Yeah, I work on 3 different computers. This big iMac here that I use and then I have a laptop Mac, and then I also have an iPad.",,,
,DB,"OK, and you write on the iPad?",,,
,NVW,I have a keyboard extension for it.,,,
,DB,And what program do you use to write in? Do you just write in like notes or&#8230;?,,,
,NVW,I use Pages on the app,,,
,DB,"Oh, you use Pages.",,,
,NVW,"I email it to myself, and then I move it in to Word.",,,
,DB,OK-,,,
,NVW,I use that one when I'm on the road.,,,
,DB,"When you're on the road, it's just the iPad&#8230;?",,,
,NVW,Yeah,,,
,DB,And you're on the road quite a bit?,,,
,NVW,When I go to Vermont-,,,
,DB,"OK, when you go to Vermont-",,,
,NVW,--when I'm doing any kind of traveling,,,
,DB,You don't travel with the laptop. You just travel with the iPad?,,,
,NVW,"Yeah, I don't really take the laptop with me. I have an older laptop and it's pretty heavy.",,,
,DB,"Yeah, they seriously are.",,,
,DB,"OK, So you have 3 devices. And you are a Mac user?",,,
,NVW,"Yeah, I'm clueless with PC-clueless.",,,
,DB,Would you call one of these devices you primary device?,,,
,NVW,This one,,,
,DB,That iMac?,,,
,NVW,Uh-hmm,,,
,DB,"OK, and then so, how do you&#8230; (You sort of said this but) How do you manage your files between your devices? You email them to yourself?",,,
,NVW,"Yes. With the iPad I email files to myself (Do I do it any other way?). With the laptop, I have put things on a memory stick and moved things back and forth that way. When I have to give a presentation in Vermont and I have been doing a lot of powerpoint things lately with art, text and art. I bring a memory stick and use that to set up at the college. They have all good Macs and a good tech person who will help me get set up.",future,,
,DB,"So for your work, now, do you work exclusively on computers, or do you kind of go between the physical and digital environments at all?",,,
,NVW,"I work in longhand, on yellow legal tablets, or just whatever. I have different notebooks that I have. That's what all these notebooks are here; these are my various writing projects in process. They each get their own little notebook.",prompt; paper,,
,NVW,"I worked longhand for&#8230; Gosh, I don't know-at least 3 or 4 more drafts, at least. Sometimes more like 10 or 12. It just depends. Some things give me more groove than others before I will type something.",paper; revision,,
,DB,And we're going to come back to that.,,,
,NVW,OK,,,
,DB,What's the transition from the notebook into the digital? Do you type it out yourself?,,,
,NVW,Yeah.,,,
,DB,"OK, and is that a moment of revision for you usually, or is it--?",,,
,NVW,"Yeah, yeah",,,
,DB,"OK, and &#8230;",,,
,NVW,"And then once I get it in to a document, I'll probably revise it again a number of times.",,,
,DB,OK,,,
,NVW,I'm doing different revision operations (Maybe we're going to go with this?),,,
,DB,"We're definitely going to talk about revision more in depth. Yeah, that sort of like locating the practice now and then we'll see where we're at with that. So, these are the questions that, professionally, I'm interested in.",,,
,DB,"So, how do you then save these notebooks in your pre-writing and all that? I mean, is there a&#8230; Do you just keep them in a box somewhere, or&#8230;?",future,,
,NVW,This is 'they.',future,,
,DB,"This is it, OK. But like your older ones, like ones with finished projects?",future,,
,NVW,They're all down there on a shelf.,future,,
,DB,They're all down there on a shelf?,future,,
,NVW,Yeah,future,,
,DB,"OK, and then for your extra digital files, how do you save those? Do you save them just as Word docs?",future,,
,NVW,"Yeah, I save them as Word docs and then when I'm done with them and the books are published, then I just put them on a back-up disk and take them off my hard drive here.",future,,
,DB,"OK, do you print out your writing to revise it?",revision,,
,NVW,"Often when it gets to the computer stage, not so much.",revision,,
,DB,OK,,,
,NVW,I'm just working on the screen for quite a while.,,,
,DB,"And then a sort of last section on this is: how do you back up your work and (as you say) when you're finished with something, you put it on an external hard drive. Is that your digital archival back-up?",,,
,NVW,Right,,,
,DB,"OK, and you don't use any Cloud-based systems like Dropbox or Google Drive, or anything like that?",,,
,NVW,"Yeah, I do use Dropbox but&#8230; Not really so much for backup, but to send things to people.",,,
,DB,"To send things and share things, and...",,,
,NVW,Yeah,,,
,DB,"OK, are files saved in more than one location then?",,,
,NVW,"Well, I do have a back-up drive and-",,,
